NAME,UN_A3,lon,lat
Fiji,242,163.85316464458234,-17.31630942638265
Tanzania,834,34.75298985475595,-6.257732428506092
W. Sahara,732,-12.13783111160779,24.291172960208623
Canada,124,-98.14238137209708,61.46907614534896
United States of America,840,-100.5994359115045,40.70562800215178
Kazakhstan,398,67.2846109811001,48.19166075218232
Uzbekistan,860,63.20363952823182,41.748602664652246
Papua New Guinea,598,145.31757462782247,-6.451644514630347
Indonesia,360,117.42340756227364,-2.221737936520542
Argentina,032,-65.17536077114173,-35.4468214894951
Chile,152,-71.5206439451643,-39.04701430994844
Dem. Rep. Congo,180,23.582955831479083,-2.8502757110956667
Somalia,706,45.72670076723565,4.752347756504953
Kenya,404,37.791555286661385,0.5959662521769523
Sudan,729,29.862604012257922,15.990585003116717
Chad,148,18.581329525332894,15.328867399839682
Haiti,332,-72.65801330535574,18.900700691843337
Dominican Rep.,214,-70.46235845697531,18.884487087982258
Russia,643,96.80331818290134,61.961663494923
Bahamas,044,-77.92997080393516,25.515491725336624
Falkland Is.,238,-59.42097279311021,-51.71322176551185
Norway,-99,15.468119955206761,69.15685630975351
Greenland,304,-41.50018111492097,74.77048769398986
Fr. S. Antarctic Lands,260,69.5315804704237,-49.306454911671985
Timor-Leste,626,125.96630027368401,-8.767760362467003
South Africa,710,25.048013879861678,-28.947033259979115
Lesotho,426,28.170105295170494,-29.625290493692013
Mexico,484,-102.5763495239869,23.935371902244835
Uruguay,858,-56.003278666548475,-32.780904365230825
Brazil,076,-53.05434003576711,-10.806773643498916
Bolivia,068,-64.64140560603113,-16.72898701530584
Peru,604,-74.39180581684722,-9.191562905134553
Colombia,170,-73.07773208697478,3.927213862709704
Panama,591,-80.10916483549376,8.530019388864652
Costa Rica,188,-84.17542309600948,9.965671127464528
Nicaragua,558,-85.02031850080252,12.848190428036988
Honduras,340,-86.58996383801542,14.822947081652929
El Salvador,222,-88.87290317032377,13.726091625794197
Guatemala,320,-90.36945836053154,15.699360612026911
Belize,084,-88.70342125299318,17.197089911451545
Venezuela,862,-66.16382727830238,7.162132267639002
Guyana,328,-58.97120310856251,4.790225375174759
Suriname,740,-55.91145629952073,4.1200080317588865
France,250,-2.8766966992706267,42.46070432663372
Ecuador,218,-78.38416674608374,-1.4547717055405804
Puerto Rico,630,-66.47922227695507,18.2372245709719
Jamaica,388,-77.32425480164892,18.137636127868436
Cuba,192,-78.96068490970256,21.631751541025228
Zimbabwe,716,29.788548371892524,-18.906987947858802
Botswana,072,23.773081465789428,-22.099711378826413
Namibia,516,17.156168126194093,-22.099776931731068
Senegal,686,-14.50980278585943,14.354139988452022
Mali,466,-3.543294339453343,17.267772061700715
Mauritania,478,-10.326396925234992,20.20926720635376
Benin,204,2.337377553496156,9.647430780663699
Niger,562,9.324427099857923,17.345552814745542
Nigeria,566,7.995127754089786,9.548318418209965
Cameroon,120,12.611551546501774,5.663095287992696
Togo,768,0.9964039436703582,8.439541954669616
Ghana,288,-1.2369685557063992,7.928651813099648
C̫te d'Ivoire,384,-5.6120436452252225,7.5537550070104915
Guinea,324,-11.060853741185456,10.44827287727134
Guinea-Bissau,624,-15.110623751667879,12.022704382325685
Liberia,430,-9.410836154371117,6.431619862252993
Sierra Leone,694,-11.795257428559948,8.53035372615305
Burkina Faso,854,-1.77653745205594,12.311650494136712
Central African Rep.,140,20.374347291243915,6.5427787059213145
Congo,178,15.13446176741353,-0.8378010872252886
Gabon,266,11.687751174902044,-0.6470481398040288
Eq. Guinea,226,10.366031325064027,1.6458643199600753
Zambia,894,27.727591918760577,-13.395067553524187
Malawi,454,34.193605326922366,-13.172834992341919
Mozambique,508,35.47261597864435,-17.230448975659677
eSwatini,748,31.39525590206532,-26.48985528852001
Angola,024,17.47057255231345,-12.245869036133188
Burundi,108,29.91389229542573,-3.3773910753554657
Israel,376,35.003851206429005,31.4849193900197
Lebanon,422,35.87098632001643,33.91182720781994
Madagascar,450,46.69117091471639,-19.356114077828778
Palestine,275,35.27331962289024,31.94113662241515
Gambia,270,-15.431872807730837,13.47533435870166
Tunisia,788,9.534716120695835,34.172939036882376
Algeria,012,2.5980477916183444,28.185481278657537
Jordan,400,36.77945490632519,31.245490584748417
United Arab Emirates,784,54.20671476159633,23.86863365334761
Qatar,634,51.1835025789133,25.32185097420669
Kuwait,414,47.600098887626416,29.307266634033564
Iraq,368,43.75691096461423,33.03682096372491
Oman,512,56.09867281997542,20.611174374229545
Vanuatu,548,167.07375126822674,-15.542677057554924
Cambodia,116,104.87608532525192,12.684728629393506
Thailand,764,101.00613354626108,15.01697499141648
Laos,418,103.75025989504465,18.444978089036088
Myanmar,104,96.50584094206161,21.016999873773827
Vietnam,704,106.28584079705195,16.657937753254938
North Korea,408,127.16501590888976,40.14302033650109
South Korea,410,127.8213171283307,36.42759860415487
Mongolia,496,102.94640620846634,46.82368112626357
India,356,79.59370376325381,22.92500640740852
Bangladesh,050,90.26792827719598,23.83946179534406
Bhutan,064,90.4724248062037,27.427968649102027
Nepal,524,84.01317367692529,28.23944001904935
Pakistan,586,69.41399806318127,29.973460025547393
Afghanistan,004,66.08669022192831,33.85639928169076
Tajikistan,762,71.03443504896113,38.58308146421082
Kyrgyzstan,417,74.62040481092558,41.50689371318262
Turkmenistan,795,59.27543026236141,39.09124018017583
Iran,364,54.285451496891426,32.51891731762539
Syria,760,38.54423941961137,35.012614281129
Armenia,051,45.00029001101479,40.21660761230143
Sweden,752,16.59626584684802,62.811484968080336
Belarus,112,27.98135261544803,53.50634479481114
Ukraine,804,31.229122070266495,49.14882260840351
Poland,616,19.31101430844868,52.14826021933187
Austria,040,14.076158884337072,47.6139487927463
Hungary,348,19.357628627745918,47.19995117195427
Moldova,498,28.41048279080328,47.20367642606752
Romania,642,24.943252494635377,45.857101035738005
Lithuania,440,23.88064027584349,55.284319484766066
Latvia,428,24.833296149803438,56.80717513427924
Estonia,233,25.824725613026608,58.643695426630906
Germany,276,10.288485092742851,51.13372269040778
Bulgaria,100,25.19511095327711,42.7531187620217
Greece,300,22.719813447095053,39.066715899713955
Turkey,792,35.116900150938406,39.06837194061471
Albania,008,20.03242643144321,41.141353306048785
Croatia,191,16.566189771645533,45.01623399593114
Switzerland,756,8.118300613385486,46.79173768366762
Luxembourg,442,5.965223432343999,49.76570507415103
Belgium,056,4.580834113854935,50.65244095902296
Netherlands,528,5.512217100965399,52.298700374441786
Portugal,620,-8.055765588295687,39.63404977497817
Spain,724,-3.6170206023873743,40.348656106226734
Ireland,372,-8.010236544877012,53.18059120995006
New Caledonia,540,165.53447460087543,-21.26135761252651
Solomon Is.,090,159.9666154474296,-8.852497470848528
New Zealand,554,172.70192594405574,-41.662578757158684
Australia,036,134.50277547536595,-25.730654779726077
Sri Lanka,144,80.66723574931648,7.700534417248105
China,156,103.88361230063249,36.555066531858685
Taiwan,-099,120.97480073748623,23.740964979784938
Italy,380,12.140788372235871,42.751183052964265
Denmark,208,9.876372937675002,56.06393446179454
United Kingdom,826,-2.8531353951805545,53.91477348053706
Iceland,352,-18.761028770831768,65.07427633529105
Azerbaijan,031,47.553909558006055,40.22069054766167
Georgia,268,43.48154265409026,42.16201501415301
Philippines,608,122.90267236988682,11.763799362297663
Malaysia,458,109.6981484486297,3.7255884257737155
Brunei,096,114.91510877393951,4.690250542520635
Slovenia,705,14.938152320795732,46.12542205901039
Finland,246,26.211764610296353,64.50409403963651
Slovakia,703,19.507657147433708,48.7267113517275
Czechia,203,15.334558102365815,49.775245294369
Eritrea,232,38.67818692786484,15.427276751412931
Japan,392,138.06496213270776,37.66311081170466
Paraguay,600,-58.387387833505706,-23.248041946292087
Yemen,887,47.535044758543485,15.913231950143004
Saudi Arabia,682,44.51636376826477,24.123289839105293
Antarctica,010,20.571000569842635,-80.49198288284343
N. Cyprus,-099,33.5582859592249,35.273957681259716
Cyprus,196,33.03955380295407,34.90706085094344
Morocco,504,-8.420479544549693,29.885394698302058
Egypt,818,29.844461513124415,26.50661999974957
Libya,434,17.974352779160352,26.997460407020338
Ethiopia,231,39.551255792937745,8.653999188132575
Djibouti,262,42.4980197360445,11.773044395533926
Somaliland,-099,46.23074953490769,9.757971805222988
Uganda,800,32.35755031998686,1.2954855035097297
Rwanda,646,29.91896392224289,-2.0135144658341346
Bosnia and Herz.,070,17.816883270390086,44.1807677629747
North Macedonia,807,21.697903375280845,41.60592964714007
Serbia,688,20.819651926382583,44.23303653365162
Montenegro,499,19.2861817215929,42.78903960655908
Kosovo,-099,20.895355721342227,42.579367131816994
Trinidad and Tobago,780,-61.33036691444967,10.428237089201879
S. Sudan,728,30.198617582461907,7.292890133516845
